photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN0652,169,3,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,310.62,10,0,0,0,0,,Monica
DSCN0653,169,4,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,233.639,12,0,0,0,0,,Monica
DSCN0654,169,5,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,204.593,10,0,0,0,0,,Monica
DSCN0655,169,6,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,344.06,12,0,0,0,0,,Monica
DSCN0656,169,7,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,590.451,19,0,0,0,0,,Monica
DSCN0658,170,1,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,NA,NA,NA,NA,NA,NA,,Monica
DSCN0659,170,2,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,205.484,6,0,0,1,0,,Monica
DSCN0660,170,3,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,218.297,8,0,0,0,0,,Monica
DSCN0661,170,4,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,223.202,8,0,0,0,0,,Monica
DSCN0662,170,5,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,316.935,7,0,0,0,0,,Monica
DSCN0665,170,6,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,262.107,9,0,0,0,0,,Monica
DSCN0666,170,7,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,382.027,9,0,0,0,0,,Monica
DSCN0636,171,1,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,230.108,10,1,0,0,0,,Monica
DSCN0637,171,2,Guiri,,Pocillopora spp,arana,,23/4/2021,4,2021,abr-21,242.339,9,0,1,0,0,4 fragmentos en la arena,Monica
