photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN3836,138,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,538.621,17,0,0,2,0,,SaÃºl
DSCN3842,144,Playa Blanca,NA,arana pequena,NA,NA,4,2023,23-Apr,330.51,18,0,0,0,0,,Jorge
DSCN3844,143,Playa Blanca,NA,arana pequena,NA,NA,4,2023,23-Apr,295.052,26,0,0,0,0,,Jorge
DSCN3846,73,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,357.01,24,0,0,1,0,"Parece una pÃ©rdida parcial, porque se nota la tira de plÃ¡stico y se ve un pedacito muy pequeÃ±o de coral, comparado con los demÃ¡s.",Daniela
DSCN3848,62,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,366.081,24,0,0,0,0,,Priscilla
DSCN3850,64,Playa Blanca,NA,arana pequena,NA,NA,4,2023,abr-23,506.523,32,0,0,0,0,,Priscilla
DSCN3725,74,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,453.169,19,0,1,0,0,,Daniela
DSCN3762,70,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,213.956,24,0,0,0,1,,Daniela
DSCN3814,72,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,635.116,22,0,0,0,0,,Daniela
DSCN3824,68,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,482.393,26,0,0,0,0,Hay una pieza que se ve blanca pero tiene las puntas con color por lo que no estoy segura de que sea blanqueamiento,Daniela
DSCN3846,73,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,422.087,23,0,1,1,0,"Hay una pieza que la mitad se ve negra, como si tuviera alga, no estoy segura si sea el Ã¡ngulo de la fotografÃ­a, o si efectivamente es una mortalidad parcial.",Daniela
DSCN4533,79,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,NA,NA,NA,NA,NA,NA,Etiqueta,Paula
DSCN4534,79,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,777.995,18,0,2,1,1,,Paula
DSCN4538,82,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,340.464,21,1,13,1,0,Fragmentos sanos en el fondo,Amanda
DSCN4540,147,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,346.462,19,0,14,1,0,Parches con mortandad pequeÃ±os,Amanda
DSCN4542,115,Playa Blanca,NA,arana pequena,NA,NA,5,2023,23-may,361.155,21,0,13,0,0,No se determina el lÃ­mite entre fragmentos adyacentes,Amanda
