photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN1540,15,4,Playa Blanca,,arana,,,5,2021,may-24,110.509,4,1,0,0,0,No estoy segura si la unica de la barra de arriba esta muerta o es perdida,Maricruz
DSCN1541,15,5,Playa Blanca,,arana,,,5,2021,may-24,36.356,1,0,0,6,0,,Maricruz
DSCN1542,15,6,Playa Blanca,,arana,,,5,2021,may-24,173.678,5,0,0,1,0,Corales de abajo muy cercanos unos entre otros entonces no se cuantos fragmentos hay,Maricruz
DSCN1543,15,7,Playa Blanca,,arana,,,5,2021,may-24,NA,NA,NA,NA,NA,NA,Replica de DSCN1544,Maricruz
DSCN1544,15,7,Playa Blanca,,arana,,,5,2021,may-24,151.226,6,0,0,6,0,Arana un poco borrosa en la parte derecha,Maricruz
DSCN7913,6,1,Playa Blanca,,arana,,,12,2020,dic-24,51.931,6,0,0,0,0,,Randall
DSCN7914,6,2,Playa Blanca,,arana,,,12,2020,dic-24,29.756,7,0,0,0,0,,Randall
DSCN7915,6,3,Playa Blanca,,arana,,,12,2020,dic-24,67.020,6,0,0,0,0,,Randall
DSCN7916,6,4,Playa Blanca,,arana,,,12,2020,dic-24,52.415,6,0,0,0,0,,Randall
DSCN7917,6,5,Playa Blanca,,arana,,,12,2020,dic-24,45.497,6,0,0,0,3,,Randall
DSCN7918,6,6,Playa Blanca,,arana,,,12,2020,dic-24,32.911,5,1,0,1,0,uno muy pequeño y lleno de alga,Randall
