photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
P5240070,170,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,724.226,8,0,0,0,0,,Monica
P5240071,170,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,951.769,7,0,0,0,0,,Monica
P5240072,170,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1028.327,8,0,0,0,0,,Monica
P5240073,170,5,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1086.702,8,0,1,0,0,,Monica
P5240074,170,6,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1153.696,7,0,0,0,0,,Monica
P5240076,170,7,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1929.358,10,0,0,0,0,,Monica
P5240032,171,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,938.362,10,0,1,0,0,,Monica
P5240033,171,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,708.209,10,0,0,0,0,,Monica
P5240034,171,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,946.449,10,0,0,0,0,,Monica
P5240035,171,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,843.492,8,0,0,0,0,,Monica
P5240036,171,5,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,948.109,9,0,0,0,0,,Monica
P5240037,171,6,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,992.441,10,0,1,0,0,,Monica
P5240039,171,7,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1941.806,13,0,0,0,0,,Monica
P5240060,172,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,894.149,9,0,0,0,0,,Monica
P5240061,172,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1222.138,10,0,0,0,0,,Monica
P5240062,172,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1035.281,11,0,0,0,0,,Monica
P5240063,172,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,974.036,10,0,0,0,0,,Monica
P5240064,172,5,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,987.151,9,0,0,0,0,,Monica
P5240065,172,6,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,991.423,11,0,0,0,0,,Monica
P5240067,172,7,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,2544.957,19,0,0,0,0,,Monica
P5240078,175,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,514.422,7,0,0,0,0,,Monica
P5240079,175,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,550.101,9,0,0,0,1,,Monica
P5240080,175,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,576.486,7,0,0,0,0,,Monica
P5240081,175,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,912.292,8,0,0,0,0,,Monica
P5240082,175,5,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1380.295,10,0,0,0,0,,Monica
P5240084,175,6,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1575.35,11,0,0,0,0,,Monica
P5240086,175,7,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,1552.844,10,0,0,0,0,,Monica
P5240014,76,1,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,445.349,5,0,0,0,0,,Monica
P5240015,76,2,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,295.985,5,0,0,0,0,,Monica
P5240016,76,3,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,523.188,4,0,0,0,0,,Monica
P5240017,76,4,Guiri,,Pocillopora spp,arana,,25/5/2023,5,2023,may-23,566.241,6,0,0,0,0,,Monica
