"photo.code","site","origin","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","structure_fixed","face","data_entry_person","date"
"DSCN1455","Playa Blanca","Jicaro","5","2021",150.214,5,0,1,0,0,"12","12","2","Digitador_8",2021-05-01
"DSCN1456","Playa Blanca","Jicaro","5","2021",70.943,4,0,0,1,0,"12","12","3","Digitador_8",2021-05-01
"DSCN1457","Playa Blanca","Jicaro","5","2021",77.93,6,0,0,0,0,"12","12","4","Digitador_8",2021-05-01
"DSCN1458","Playa Blanca","Jicaro","5","2021",43.062,4,1,0,2,0,"12","12","5","Digitador_8",2021-05-01
"DSCN1459","Playa Blanca","Jicaro","5","2021",88.703,4,0,1,2,0,"12","12","6","Digitador_8",2021-05-01
"DSCN1460","Playa Blanca","Jicaro","5","2021",443.471,13,0,0,6,0,"12","12","7","Digitador_8",2021-05-01
"DSCN1526","Playa Blanca","Jicaro","5","2021",189.939,8,0,0,0,0,"13","13","1","Digitador_8",2021-05-01
"DSCN1527","Playa Blanca","Jicaro","5","2021",100.592,4,0,1,2,0,"13","13","2","Digitador_8",2021-05-01
"DSCN1528","Playa Blanca","Jicaro","5","2021",253.557,7,0,1,1,0,"13","13","3","Digitador_8",2021-05-01
"DSCN1529","Playa Blanca","Jicaro","5","2021",195.147,7,0,0,0,0,"13","13","4","Digitador_8",2021-05-01
"DSCN1530","Playa Blanca","Jicaro","5","2021",70.973,3,0,0,1,0,"13","13","5","Digitador_8",2021-05-01
"DSCN1531","Playa Blanca","Jicaro","5","2021",38.01,1,0,0,2,0,"13","13","6","Digitador_8",2021-05-01
"DSCN1533","Playa Blanca","Jicaro","5","2021",578.557,20,0,0,1,0,"13","13","7","Digitador_8",2021-05-01
"DSCN1491","Playa Blanca","Jicaro","5","2021",102.917,3,0,0,4,0,"14","14","1","Digitador_8",2021-05-01
"DSCN1492","Playa Blanca","Jicaro","5","2021",108.273,6,0,1,1,0,"14","14","2","Digitador_8",2021-05-01
"DSCN1494","Playa Blanca","Jicaro","5","2021",55.866,2,0,0,5,0,"14","14","3","Digitador_8",2021-05-01
"DSCN1495","Playa Blanca","Jicaro","5","2021",140.552,6,0,1,1,0,"14","14","4","Digitador_8",2021-05-01
"DSCN1496","Playa Blanca","Jicaro","5","2021",132.172,4,0,0,2,0,"14","14","5","Digitador_8",2021-05-01
"DSCN1497","Playa Blanca","Jicaro","5","2021",148.235,4,0,0,1,0,"14","14","6","Digitador_8",2021-05-01
"DSCN1498","Playa Blanca","Jicaro","5","2021",342.209,12,0,1,8,0,"14","14","7","Digitador_8",2021-05-01
"DSCN1537","Playa Blanca","Jicaro","5","2021",80.058,6,0,1,4,0,"15","15","1","Digitador_8",2021-05-01
"DSCN1538","Playa Blanca","Jicaro","5","2021",109.016,7,0,0,1,0,"15","15","2","Digitador_8",2021-05-01
"DSCN1539","Playa Blanca","Jicaro","5","2021",40.507,3,0,0,3,0,"15","15","3","Digitador_8",2021-05-01
"DSCN1540","Playa Blanca","Jicaro","5","2021",110.509,4,1,0,0,0,"15","15","4","Digitador_8",2021-05-01
"DSCN1541","Playa Blanca","Jicaro","5","2021",36.356,1,0,0,6,0,"15","15","5","Digitador_8",2021-05-01
"DSCN1542","Playa Blanca","Jicaro","5","2021",173.678,5,0,0,1,0,"15","15","6","Digitador_8",2021-05-01
"DSCN1544","Playa Blanca","Jicaro","5","2021",151.226,6,0,0,6,0,"15","15","7","Digitador_8",2021-05-01
"DSCN8471","Playa Blanca","Matapalo","1","2021",84.137,6,0,0,0,0,"6","6","1","Digitador_11",2021-01-01
"DSCN8472","Playa Blanca","Matapalo","1","2021",50.754,7,0,0,0,0,"6","6","2","Digitador_11",2021-01-01
"DSCN8473","Playa Blanca","Matapalo","1","2021",78.312,6,0,0,0,0,"6","6","3","Digitador_11",2021-01-01
"DSCN8474","Playa Blanca","Matapalo","1","2021",73.571,6,0,0,0,0,"6","6","4","Digitador_11",2021-01-01
"DSCN8475","Playa Blanca","Matapalo","1","2021",59.377,6,0,0,0,2,"6","6","5","Digitador_11",2021-01-01
"P1010230","Playa Blanca","Matapalo","1","2021",51.507,6,0,0,0,4,"6","6","6","Digitador_11",2021-01-01
"DSCN8476","Playa Blanca","Matapalo","1","2021",230.557,13,0,0,1,1,"6","6","7","Digitador_11",2021-01-01
"DSCN8478","Playa Blanca","Matapalo","1","2021",98.645,6,0,0,0,0,"7","7","1","Digitador_11",2021-01-01
"DSCN8479","Playa Blanca","Matapalo","1","2021",48.074,5,0,0,0,1,"7","7","2","Digitador_11",2021-01-01
"DSCN8480","Playa Blanca","Matapalo","1","2021",34.917,4,0,0,1,0,"7","7","3","Digitador_11",2021-01-01
"DSCN8481","Playa Blanca","Matapalo","1","2021",37.604,6,0,0,0,0,"7","7","4","Digitador_11",2021-01-01
"DSCN8482","Playa Blanca","Matapalo","1","2021",47.297,5,0,0,0,1,"7","7","5","Digitador_11",2021-01-01
"DSCN8483","Playa Blanca","Matapalo","1","2021",85.212,5,0,0,0,0,"7","7","6","Digitador_11",2021-01-01
"DSCN8484","Playa Blanca","Matapalo","1","2021",194.291,13,0,0,0,8,"7","7","7","Digitador_11",2021-01-01
"DSCN8486","Playa Blanca","Matapalo","1","2021",47.339,6,0,0,0,0,"8","8","1","Digitador_11",2021-01-01
"DSCN8487","Playa Blanca","Matapalo","1","2021",37.462,6,1,0,0,1,"8","8","2","Digitador_11",2021-01-01
"DSCN8488","Playa Blanca","Matapalo","1","2021",36.496,5,0,0,1,2,"8","8","3","Digitador_11",2021-01-01
