photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,analizador
DSCN0462,92,2,Playa Pelonas,,arana,,,6,2022,22-Jun,154.561,6,0,0,0,0,,Tania
DSCN0463,92,3,Playa Pelonas,,arana,,,6,2022,22-Jun,121.134,5,0,0,0,0,,Tania
DSCN0464,92,4,Playa Pelonas,,arana,,,6,2022,22-Jun,120.916,6,0,0,0,0,,Tania
DSCN0465,92,5,Playa Pelonas,,arana,,,6,2022,22-Jun,129.725,6,0,0,0,0,,Tania
DSCN0466,92,6,Playa Pelonas,,arana,,,6,2022,22-Jun,100.947,5,0,0,0,0,,Tania
DSCN0467,92,7,Playa Pelonas,,arana,,,6,2022,22-Jun,833.328,18,0,0,0,0,,Tania
DSCN0478,93,1,Playa Pelonas,,arana,,,6,2022,22-Jun,46.858,4,0,0,1,0,,Tania
DSCN0479,93,2,Playa Pelonas,,arana,,,6,2022,22-Jun,60.945,3,0,0,0,0,,Tania
DSCN0480,93,3,Playa Pelonas,,arana,,,6,2022,22-Jun,64.82,3,0,0,0,0,,Tania
DSCN0481,93,4,Playa Pelonas,,arana,,,6,2022,22-Jun,74.129,5,1,0,0,0,,Tania
DSCN0482,93,5,Playa Pelonas,,arana,,,6,2022,22-Jun,43.77,4,0,0,0,0,,Tania
DSCN0483,93,6,Playa Pelonas,,arana,,,6,2022,22-Jun,58.965,5,0,0,0,0,,Tania
DSCN0484,93,7,Playa Pelonas,,arana,,,6,2022,22-Jun,311.711,14,0,0,0,0,,Tania
DSCN0469,94,1,Playa Pelonas,,arana,,,6,2022,22-Jun,46.423,3,0,0,0,0,,Tania
DSCN0470,94,2,Playa Pelonas,,arana,,,6,2022,22-Jun,18.635,2,0,0,0,0,,Tania
DSCN0471,94,3,Playa Pelonas,,arana,,,6,2022,22-Jun,37.419,3,0,0,0,0,,Tania
DSCN0472,94,4,Playa Pelonas,,arana,,,6,2022,22-Jun,26.387,3,1,0,1,0,,Tania
DSCN0473,94,5,Playa Pelonas,,arana,,,6,2022,22-Jun,42.924,3,0,1,0,0,,Tania
DSCN0474,94,6,Playa Pelonas,,arana,,,6,2022,22-Jun,14.825,2,0,1,0,0,,Tania
DSCN0475,94,7,Playa Pelonas,,arana,,,6,2022,22-Jun,34.068,1,0,0,0,0,tiene foto repetida con la DSCN0476,Tania
DSCN0869,91,1,Playa Pelonas,,arana,,,7,2022,22-Jul,47.802,3,0,0,1,0,,Tania
DSCN0870,91,2,Playa Pelonas,,arana,,,7,2022,22-Jul,22.437,2,0,0,1,0,,Tania
DSCN0871,91,3,Playa Pelonas,,arana,,,7,2022,22-Jul,42.599,3,0,0,0,0,,Tania
DSCN0872,91,4,Playa Pelonas,,arana,,,7,2022,22-Jul,44.287,2,0,0,1,0,,Tania
DSCN0873,91,5,Playa Pelonas,,arana,,,7,2022,22-Jul,26.48,1,0,0,0,0,,Tania
DSCN0877,91,6,Playa Pelonas,,arana,,,7,2022,22-Jul,23.744,5,0,3,0,0,,Tania
DSCN0878,91,7,Playa Pelonas,,arana,,,7,2022,22-Jul,635.698,12,0,1,0,0,,Tania
DSCN0906,92,1,Playa Pelonas,,arana,,,7,2022,22-Jul,169.849,8,0,0,0,0,,Tania
DSCN0907,92,2,Playa Pelonas,,arana,,,7,2022,22-Jul,174.205,5,0,0,0,0,Pez en la foto,Tania
DSCN0908,92,3,Playa Pelonas,,arana,,,7,2022,22-Jul,150.17,5,0,0,0,0,,Tania
DSCN0909,92,4,Playa Pelonas,,arana,,,7,2022,22-Jul,89.177,4,0,0,0,0,Foto borrosa,Tania
DSCN0910,92,5,Playa Pelonas,,arana,,,7,2022,22-Jul,121.878,7,0,1,0,0,"Foto muy lejos, pez en la foto",Tania
DSCN0911,92,6,Playa Pelonas,,arana,,,7,2022,22-Jul,77.959,6,0,1,0,0,Foto muy lejos,Tania
DSCN0912,92,7,Playa Pelonas,,arana,,,7,2022,22-Jul,910.272,15,0,0,0,0,,Tania
DSCN0880,93,1,Playa Pelonas,,arana,,,7,2022,22-Jul,74.4,7,0,0,1,0,,Tania
DSCN0881,93,2,Playa Pelonas,,arana,,,7,2022,22-Jul,86.795,3,1,0,0,0,,Tania
DSCN0882,93,3,Playa Pelonas,,arana,,,7,2022,22-Jul,97.749,4,0,0,0,0,,Tania
DSCN0883,93,4,Playa Pelonas,,arana,,,7,2022,22-Jul,43.172,4,0,0,0,0,,Tania
DSCN0884,93,5,Playa Pelonas,,arana,,,7,2022,22-Jul,100.38,4,0,0,1,0,,Tania
DSCN0885,93,6,Playa Pelonas,,arana,,,7,2022,22-Jul,77.731,4,1,0,0,0,,Tania
DSCN0886,93,7,Playa Pelonas,,arana,,,7,2022,22-Jul,557.178,15,1,0,0,0,,Tania
DSCN0914,94,1,Playa Pelonas,,arana,,,7,2022,22-Jul,43.202,3,0,0,0,0,Es la misma que la DSCN0920,Tania
DSCN0915,94,2,Playa Pelonas,,arana,,,7,2022,22-Jul,44.276,3,0,0,0,0,"Revisar crecimiento abajo, no sé que es",Tania
DSCN0916,94,3,Playa Pelonas,,arana,,,7,2022,22-Jul,60.875,2,0,0,0,0,,Tania
DSCN0917,94,4,Playa Pelonas,,arana,,,7,2022,22-Jul,38.974,3,1,0,0,0,Imagen confusa,Tania
DSCN0918,94,5,Playa Pelonas,,arana,,,7,2022,22-Jul,59.543,3,0,0,0,0,,Tania
DSCN0919,94,6,Playa Pelonas,,arana,,,7,2022,22-Jul,41.996,4,0,0,0,0,,Tania
DSCN0921,94,7,Playa Pelonas,,arana,,,7,2022,22-Jul,261.768,7,0,0,2,0,,Tania
DSCN1649,91,1,Playa Pelonas,,arana,,,8,2022,ago-22,62.393,3,0,0,2,0,,Tania
DSCN1650,91,2,Playa Pelonas,,arana,,,8,2022,ago-22,21.478,3,0,0,0,0,,Tania
DSCN1651,91,3,Playa Pelonas,,arana,,,8,2022,ago-22,34.37,3,0,0,0,0,,Tania
DSCN1652,91,4,Playa Pelonas,,arana,,,8,2022,ago-22,67.919,3,0,0,0,0,,Tania
DSCN1653,91,5,Playa Pelonas,,arana,,,8,2022,ago-22,35.277,1,0,0,1,0,,Tania
DSCN1654,91,6,Playa Pelonas,,arana,,,8,2022,ago-22,36.728,4,0,0,0,0,,Tania
DSCN1655,91,7,Playa Pelonas,,arana,,,8,2022,ago-22,803.446,11,0,2,0,0,,Tania
DSCN1667,92,1,Playa Pelonas,,arana,,,8,2022,ago-22,252.206,7,0,0,0,0,,Tania
DSCN1668,92,2,Playa Pelonas,,arana,,,8,2022,ago-22,210.847,6,0,0,0,0,,Tania
DSCN1669,92,3,Playa Pelonas,,arana,,,8,2022,ago-22,166.27,5,0,0,0,0,,Tania
DSCN1670,92,4,Playa Pelonas,,arana,,,8,2022,ago-22,64.237,4,0,0,0,0,,Tania
